message,level,source,method,time
Setting up  NuBot0.1.4a,INFO,com.nubits.nubot.launch.NuBot,execute,Feb_14_23_19_57
Init logging system,INFO,com.nubits.nubot.launch.NuBot,execute,Feb_14_23_19_57
Set up SSL certificates,INFO,com.nubits.nubot.launch.NuBot,execute,Feb_14_23_19_57
Load options from options-btc-polo-test.json,INFO,com.nubits.nubot.launch.NuBot,execute,Feb_14_23_19_57
Wrap the keys into a new ApiKeys object,INFO,com.nubits.nubot.launch.NuBot,execute,Feb_14_23_19_57
Creating an Exchange object,INFO,com.nubits.nubot.launch.NuBot,execute,Feb_14_23_19_57
Create e ExchangeLiveData object to accomodate liveData from the exchange,INFO,com.nubits.nubot.launch.NuBot,execute,Feb_14_23_19_57
Create a new TradeInterface object,INFO,com.nubits.nubot.launch.NuBot,execute,Feb_14_23_19_57
Create a TaskManager ,INFO,com.nubits.nubot.launch.NuBot,execute,Feb_14_23_19_57
Setting up (verbose) RPC client on 127.0.0.1:9091,INFO,com.nubits.nubot.launch.NuBot,execute,Feb_14_23_19_57
Starting task : Check connection with Nud,INFO,com.nubits.nubot.launch.NuBot,execute,Feb_14_23_19_57
Starting task : Check connection with exchange,INFO,com.nubits.nubot.launch.NuBot,execute,Feb_14_23_19_57
Waiting  a for the connectionThreads to detect connection,INFO,com.nubits.nubot.launch.NuBot,execute,Feb_14_23_19_57
Check connection with nud,INFO,com.nubits.nubot.launch.NuBot,execute,Feb_14_23_20_00
RPC connection OK!,INFO,com.nubits.nubot.launch.NuBot,execute,Feb_14_23_20_00
Configuring NuBot for Dual-Side strategy,INFO,com.nubits.nubot.launch.NuBot,execute,Feb_14_23_20_00
Start trading Strategy specific for nbtbtc,INFO,com.nubits.nubot.launch.NuBot,execute,Feb_14_23_20_00
Options : {<br>dualSide=true<br> submitLiquidity=true<br> executeOrders=true<br> verbose=false<br> sendHipchat=true<br> apiKey=Z33CK7WE-74N3H1GL-Z2BLG0MT-PCOW3GHT<br> nubitAddress=B5viA2YWcoLBvT8TWJywasQyAT9xkwhmWc<br> rpcUser=user_isme<br> nudIp=127.0.0.1<br> nudPort=9091<br> priceIncrement=3.0E-4<br> txFee=0.2<br> exchangeName=poloniex<br> pair=nbtbtc<br> executeStrategyInterval=41<br> sendLiquidityInterval=181<br> sendMails=false<br> mailRecipient=henrynu@163.com<br> emergencyTimeoutMinutes 60<br> keepProceeds=0.0<br> aggregate=false <br><br>SecondaryPegOptionsJSON : <br>backupFeedNames [bitcoinaverage  blockchain  btce] <br>distanceTreshold 10.0<br>mainFeed coinbase <br>priceOffset 0.25 <br>refreshTime 61 <br>wallchangeTreshold 0.125},INFO,com.nubits.nubot.launch.NuBot,execute,Feb_14_23_20_00
NuBot will be start running in 11 seconds  to sync with remote NTP.,INFO,com.nubits.nubot.launch.NuBot,execute,Feb_14_23_20_00
sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,SEVERE,com.nubits.nubot.notifications.jhipchat.Room,sendMessage,Feb_14_23_20_01
Computing USD prices with offset 0.25%  : sell @ 1.004505buy @ 0.995505,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,initStrategy,Feb_14_23_20_17
Converted price (using 1 btc = 259.51 USD) : sell @ 0.00387078 btc; buy @ 0.00383609 btc,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,initStrategy,Feb_14_23_20_17
Initializing strategy,INFO,com.nubits.nubot.tasks.StrategySecondaryPegTask,run,Feb_14_23_20_17
Frozen funds already in balance (not proceeds) updated : 0.0 Currency{symbol=/  fiat=false  code=btc  extendedName=//},INFO,com.nubits.nubot.utils.FrozenBalancesManager,setBalanceAlreadyThere,Feb_14_23_20_23
Strategy - Submit order : SELL 8388.79313366 nbt @ 0.00387078 btc,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,initOrders,Feb_14_23_20_24
sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,SEVERE,com.nubits.nubot.notifications.jhipchat.Room,sendMessage,Feb_14_23_20_26
Strategy - SELL Response1 = 102573168,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,initOrders,Feb_14_23_20_26
Strategy - Submit order : SELL 8388.79313366 nbt @ 0.00387078 btc,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,initOrders,Feb_14_23_20_32
sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,SEVERE,com.nubits.nubot.notifications.jhipchat.Room,sendMessage,Feb_14_23_20_33
Strategy : SELL Response2 = 102573239,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,initOrders,Feb_14_23_20_33
Strategy - Submit order : BUY 2814.60706866 nbt @ 0.00383609 btc,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,initOrders,Feb_14_23_20_34
sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,SEVERE,com.nubits.nubot.notifications.jhipchat.Room,sendMessage,Feb_14_23_20_36
