timestamp,activeOrders, sells,buys, digest

Sat Feb 14 23:20:39 UTC 2015 , 3 , 2 , 1 , 102573261 : { BUY 2814.61@0.00383609} 102573168 : { SELL 8388.79@0.00387078} 102573239 : { SELL 8388.79@0.00387078} 
Sat Feb 14 23:26:41 UTC 2015 , 4 , 2 , 2 , 102574810 : { BUY 2801.05@0.00385466} 102574858 : { BUY 2800.14@0.00385466} 102573839 : { SELL 8388.79@0.00388951} 102573903 : { SELL 8388.79@0.00388951} 
Sat Feb 14 23:29:43 UTC 2015 , 4 , 2 , 2 , 102574810 : { BUY 2801.05@0.00385466} 102574858 : { BUY 2800.14@0.00385466} 102573839 : { SELL 8388.79@0.00388951} 102573903 : { SELL 8388.79@0.00388951} 
Sat Feb 14 23:38:55 UTC 2015 , 4 , 2 , 2 , 102580204 : { BUY 2783.59@0.00387884} 102580251 : { BUY 2782.68@0.00387884} 102579252 : { SELL 8388.79@0.00391391} 102579295 : { SELL 8388.79@0.00391391} 
Sat Feb 14 23:41:47 UTC 2015 , 4 , 2 , 2 , 102581186 : { BUY 2783.59@0.00387884} 102581234 : { BUY 2782.68@0.00387884} 102581099 : { SELL 8388.79@0.00391391} 102581167 : { SELL 8388.79@0.00391391} 
Sat Feb 14 23:47:49 UTC 2015 , 4 , 2 , 2 , 102582969 : { BUY 2792.15@0.00386694} 102583038 : { BUY 2791.25@0.00386694} 102583840 : { SELL 8388.79@0.0039019} 102583888 : { SELL 8388.79@0.0039019} 
Sat Feb 14 23:53:51 UTC 2015 , 4 , 2 , 2 , 102585332 : { BUY 2782.07@0.00388096} 102585389 : { BUY 2781.16@0.00388096} 102584445 : { SELL 8388.79@0.00391605} 102584512 : { SELL 8388.79@0.00391605} 
Sat Feb 14 23:56:52 UTC 2015 , 4 , 2 , 2 , 102586461 : { BUY 2787.06@0.00387401} 102586503 : { BUY 2786.15@0.00387401} 102587304 : { SELL 8388.79@0.00390904} 102587378 : { SELL 8388.79@0.00390904} 
Sat Feb 14 23:59:53 UTC 2015 , 4 , 2 , 2 , 102587569 : { BUY 2791.18@0.00386829} 102587604 : { BUY 2790.27@0.00386829} 102588419 : { SELL 8388.79@0.00390326} 102588461 : { SELL 8388.79@0.00390326} 
