timestamp,source,crypto,price,currency,sellprice,buyprice,otherfeeds

Sat Feb 14 23:21:18 UTC 2015,coinbase,btc,258.26,USD,0.00388951,0.00385466,{ feed : coinbase - price : 258.26}  { feed : bitcoinaverage - price : 259.62}  { feed : blockchain - price : 258.93}  { feed : btce - price : 256.636}  

Sat Feb 14 23:30:27 UTC 2015,coinbase,btc,257.89,USD,0.00389509,0.00386019,{ feed : coinbase - price : 257.89}  { feed : bitcoinaverage - price : 258.16}  { feed : blockchain - price : 257.48}  { feed : btce - price : 257.464}  

Sat Feb 14 23:34:31 UTC 2015,coinbase,btc,256.65,USD,0.00391391,0.00387884,{ feed : coinbase - price : 256.65}  { feed : bitcoinaverage - price : 256.78}  { feed : blockchain - price : 256.47}  { feed : btce - price : 253.393}  

Sat Feb 14 23:43:40 UTC 2015,coinbase,btc,257.44,USD,0.0039019,0.00386694,{ feed : coinbase - price : 257.44}  { feed : bitcoinaverage - price : 256.75}  { feed : blockchain - price : 256.47}  { feed : btce - price : 255.554}  

Sat Feb 14 23:47:44 UTC 2015,coinbase,btc,256.51,USD,0.00391605,0.00388096,{ feed : coinbase - price : 256.51}  { feed : bitcoinaverage - price : 257.03}  { feed : blockchain - price : 256.97}  { feed : btce - price : 255.462}  

Sat Feb 14 23:53:50 UTC 2015,coinbase,btc,256.97,USD,0.00390904,0.00387401,{ feed : coinbase - price : 256.97}  { feed : bitcoinaverage - price : 257.34}  { feed : blockchain - price : 256.08}  { feed : btce - price : 256.3}  

Sat Feb 14 23:56:53 UTC 2015,coinbase,btc,257.35,USD,0.00390326,0.00386829,{ feed : coinbase - price : 257.35}  { feed : bitcoinaverage - price : 257.45}  { feed : blockchain - price : 257.5}  { feed : btce - price : 256.667}  

Sat Feb 14 23:59:56 UTC 2015,coinbase,btc,256.66,USD,0.00391376,0.00387869,{ feed : coinbase - price : 256.66}  { feed : bitcoinaverage - price : 257.29}  { feed : blockchain - price : 257.5}  { feed : btce - price : 256.64}  

Sun Feb 15 00:04:00 UTC 2015,coinbase,btc,257.14,USD,0.00390645,0.00387145,{ feed : coinbase - price : 257.14}  { feed : bitcoinaverage - price : 257.08}  { feed : blockchain - price : 257.03}  { feed : btce - price : 256.902}  

Sun Feb 15 00:16:32 UTC 2015,bitcoinaverage,btc,256.77,USD,0.00391208,0.00387703,{ feed : coinbase - price : 257.03}  { feed : bitcoinaverage - price : 256.77}  { feed : blockchain - price : 257.1}  

Sun Feb 15 00:21:48 UTC 2015,bitcoinaverage,btc,255.76,USD,0.00392753,0.00389234,{ feed : coinbase - price : 255.93}  { feed : bitcoinaverage - price : 255.76}  { feed : btce - price : 255.0}  

Sun Feb 15 00:25:15 UTC 2015,coinbase,btc,255.33,USD,0.00393414,0.0038989,{ feed : coinbase - price : 255.33}  { feed : bitcoinaverage - price : 255.53}  { feed : blockchain - price : 256.0}  { feed : btce - price : 255.107}  

Sun Feb 15 00:29:25 UTC 2015,coinbase,btc,256.05,USD,0.00392308,0.00388793,{ feed : coinbase - price : 256.05}  { feed : bitcoinaverage - price : 255.84}  { feed : blockchain - price : 255.92}  { feed : btce - price : 255.106}  

Sun Feb 15 00:33:29 UTC 2015,coinbase,btc,256.63,USD,0.00391422,0.00387915,{ feed : coinbase - price : 256.63}  { feed : bitcoinaverage - price : 256.23}  { feed : blockchain - price : 256.36}  { feed : btce - price : 254.638}  

Sun Feb 15 00:39:35 UTC 2015,coinbase,btc,257.85,USD,0.0038957,0.00386079,{ feed : coinbase - price : 257.85}  { feed : bitcoinaverage - price : 256.83}  { feed : blockchain - price : 256.98}  { feed : btce - price : 255.651}  

Sun Feb 15 00:43:39 UTC 2015,coinbase,btc,257.32,USD,0.00390372,0.00386874,{ feed : coinbase - price : 257.32}  { feed : bitcoinaverage - price : 256.96}  { feed : blockchain - price : 256.98}  { feed : btce - price : 255.207}  

Sun Feb 15 00:47:43 UTC 2015,coinbase,btc,257.99,USD,0.00389358,0.0038587,{ feed : coinbase - price : 257.99}  { feed : bitcoinaverage - price : 256.94}  { feed : blockchain - price : 257.02}  { feed : btce - price : 256.0}  

Sun Feb 15 00:50:46 UTC 2015,coinbase,btc,257.63,USD,0.00389902,0.00386409,{ feed : coinbase - price : 257.63}  { feed : bitcoinaverage - price : 257.13}  { feed : blockchain - price : 256.74}  { feed : btce - price : 255.649}  

Sun Feb 15 00:53:50 UTC 2015,coinbase,btc,256.92,USD,0.0039098,0.00387477,{ feed : coinbase - price : 256.92}  { feed : bitcoinaverage - price : 256.91}  { feed : blockchain - price : 256.74}  { feed : btce - price : 255.649}  

Sun Feb 15 00:56:52 UTC 2015,coinbase,btc,257.72,USD,0.00389766,0.00386274,{ feed : coinbase - price : 257.72}  { feed : bitcoinaverage - price : 256.87}  { feed : blockchain - price : 256.44}  { feed : btce - price : 255.223}  

Sun Feb 15 01:07:02 UTC 2015,coinbase,btc,258.12,USD,0.00389162,0.00385675,{ feed : coinbase - price : 258.12}  { feed : bitcoinaverage - price : 257.97}  { feed : blockchain - price : 256.76}  { feed : btce - price : 256.041}  

Sun Feb 15 01:12:07 UTC 2015,coinbase,btc,258.59,USD,0.00388455,0.00384974,{ feed : coinbase - price : 258.59}  { feed : bitcoinaverage - price : 258.24}  { feed : blockchain - price : 258.0}  { feed : btce - price : 257.137}  

Sun Feb 15 01:20:15 UTC 2015,coinbase,btc,259.04,USD,0.0038778,0.00384306,{ feed : coinbase - price : 259.04}  { feed : bitcoinaverage - price : 258.27}  { feed : blockchain - price : 258.33}  { feed : btce - price : 257.883}  

Sun Feb 15 01:24:20 UTC 2015,coinbase,btc,257.54,USD,0.00390038,0.00386544,{ feed : coinbase - price : 257.54}  { feed : bitcoinaverage - price : 257.49}  { feed : blockchain - price : 258.75}  { feed : btce - price : 257.649}  

Sun Feb 15 01:28:23 UTC 2015,coinbase,btc,258.18,USD,0.00389072,0.00385586,{ feed : coinbase - price : 258.18}  { feed : bitcoinaverage - price : 257.71}  { feed : blockchain - price : 258.0}  { feed : btce - price : 258.083}  

